"Date of Census","Total Adults in Shelter","Total Children in Shelter","Total Individuals in Shelter","Single Adult Men in Shelter","Single Adult Women in Shelter","Total Single Adults in Shelter","Families with Children in Shelter","Adults in Families with Children in Shelter","Children in Families with Children in Shelter","Total Individuals in Families with Children in Shelter ","Adult Families in Shelter","Individuals in Adult Families in Shelter"
"10/16/2025","54989","30953","85942","16896","6693","23589","17907","26582","30953","57535","2231","4818"
"10/15/2025","55087","30973","86060","16952","6697","23649","17912","26600","30973","57573","2239","4838"
"10/14/2025","55103","31000","86103","16936","6690","23626","17942","26633","31000","57633","2243","4844"
"10/13/2025","55115","30941","86056","16979","6699","23678","17908","26599","30941","57540","2238","4838"
"10/12/2025","55011","30953","85964","16907","6654","23561","17922","26622","30953","57575","2233","4828"
"10/11/2025","54885","30947","85832","16826","6641","23467","17914","26610","30947","57557","2224","4808"
"10/10/2025","54848","30868","85716","16844","6655","23499","17858","26548","30868","57416","2221","4801"
"10/09/2025","54972","30954","85926","16870","6653","23523","17898","26608","30954","57562","2240","4841"
"10/08/2025","54942","30971","85913","16814","6633","23447","17919","26653","30971","57624","2240","4842"
"10/07/2025","54850","30924","85774","16760","6630","23390","17873","26610","30924","57534","2245","4850"
"10/06/2025","54868","30946","85814","16793","6589","23382","17900","26659","30946","57605","2237","4827"
"10/05/2025","54817","31013","85830","16696","6602","23298","17919","26680","31013","57693","2243","4839"
"10/04/2025","54792","31005","85797","16677","6584","23261","17921","26691","31005","57696","2243","4840"
"10/03/2025","54750","30971","85721","16706","6548","23254","17888","26654","30971","57625","2244","4842"
"10/02/2025","54849","30951","85800","16783","6582","23365","17890","26637","30951","57588","2246","4847"
"10/01/2025","54850","30978","85828","16756","6584","23340","17903","26648","30978","57626","2254","4862"
"09/30/2025","54871","31034","85905","16729","6579","23308","17933","26696","31034","57730","2256","4867"
"09/29/2025","54863","30992","85855","16731","6573","23304","17909","26672","30992","57664","2263","4887"
"09/28/2025","54828","31023","85851","16708","6533","23241","17939","26710","31023","57733","2258","4877"
"09/27/2025","54738","30978","85716","16682","6501","23183","17916","26683","30978","57661","2256","4872"
"09/26/2025","54757","30953","85710","16714","6497","23211","17902","26669","30953","57622","2257","4877"
"09/25/2025","54769","30945","85714","16711","6525","23236","17878","26650","30945","57595","2260","4883"
"09/24/2025","54819","30926","85745","16759","6542","23301","17863","26640","30926","57566","2258","4878"
"09/23/2025","54698","30868","85566","16712","6523","23235","17833","26593","30868","57461","2253","4870"
"09/22/2025","54691","30956","85647","16654","6527","23181","17863","26640","30956","57596","2252","4870"
"09/21/2025","54704","31043","85747","16617","6498","23115","17906","26698","31043","57741","2262","4891"
"09/20/2025","54576","31023","85599","16524","6487","23011","17903","26687","31023","57710","2257","4878"
"09/19/2025","54500","30959","85459","16557","6473","23030","17853","26614","30959","57573","2247","4856"
"09/18/2025","54623","31015","85638","16619","6480","23099","17891","26659","31015","57674","2250","4865"
"09/17/2025","54755","31019","85774","16743","6499","23242","17889","26656","31019","57675","2246","4857"
"09/16/2025","54658","30996","85654","16703","6454","23157","17881","26664","30996","57660","2239","4837"
"09/15/2025","54720","31053","85773","16715","6433","23148","17918","26703","31053","57756","2253","4869"
"09/14/2025","54585","31048","85633","16614","6395","23009","17919","26703","31048","57751","2255","4873"
"09/13/2025","54563","31098","85661","16573","6396","22969","17931","26726","31098","57824","2253","4868"
"09/12/2025","54647","31072","85719","16676","6396","23072","17919","26704","31072","57776","2256","4871"
"09/11/2025","54713","31088","85801","16723","6413","23136","17930","26734","31088","57822","2242","4843"
"09/10/2025","54721","31118","85839","16697","6441","23138","17942","26755","31118","57873","2235","4828"
"09/09/2025","54610","31072","85682","16652","6416","23068","17912","26721","31072","57793","2231","4821"
"09/08/2025","54629","31119","85748","16621","6412","23033","17928","26749","31119","57868","2244","4847"
"09/07/2025","54655","31134","85789","16643","6408","23051","17926","26756","31134","57890","2244","4848"
"09/06/2025","54609","31124","85733","16608","6403","23011","17930","26768","31124","57892","2235","4830"
"09/05/2025","54608","31091","85699","16599","6398","22997","17915","26765","31091","57856","2241","4846"
"09/04/2025","54586","31097","85683","16560","6408","22968","17926","26772","31097","57869","2241","4846"
"09/03/2025","54599","31103","85702","16573","6415","22988","17917","26771","31103","57874","2239","4840"
"09/02/2025","54616","31115","85731","16590","6417","23007","17919","26778","31115","57893","2234","4831"
"09/01/2025","54532","31120","85652","16548","6391","22939","17918","26766","31120","57886","2232","4827"
"08/31/2025","54422","31108","85530","16486","6390","22876","17904","26745","31108","57853","2221","4801"
"08/30/2025","54412","31105","85517","16471","6389","22860","17912","26747","31105","57852","2223","4805"
"08/29/2025","54397","31122","85519","16461","6371","22832","17911","26754","31122","57876","2225","4811"
"08/28/2025","54491","31102","85593","16570","6409","22979","17892","26726","31102","57828","2212","4786"
"08/27/2025","54522","31084","85606","16572","6434","23006","17879","26707","31084","57791","2225","4809"
"08/26/2025","54484","31092","85576","16538","6418","22956","17891","26721","31092","57813","2223","4807"
"08/25/2025","54529","31156","85685","16482","6428","22910","17919","26783","31156","57939","2238","4836"
"08/24/2025","54428","31151","85579","16441","6383","22824","17923","26784","31151","57935","2230","4820"
"08/23/2025","54433","31192","85625","16429","6362","22791","17946","26815","31192","58007","2234","4827"
"08/22/2025","54454","31157","85611","16468","6370","22838","17925","26799","31157","57956","2229","4817"
"08/21/2025","54444","31097","85541","16518","6338","22856","17904","26762","31097","57859","2234","4826"
"08/20/2025","54439","31105","85544","16516","6322","22838","17912","26782","31105","57887","2229","4819"
"08/19/2025","54374","31024","85398","16474","6348","22822","17872","26728","31024","57752","2232","4824"
"08/18/2025","54411","30972","85383","16522","6353","22875","17849","26698","30972","57670","2238","4838"
"08/17/2025","54446","31054","85500","16507","6324","22831","17905","26778","31054","57832","2237","4837"
"08/16/2025","54398","31053","85451","16473","6340","22813","17894","26758","31053","57811","2232","4827"
"08/15/2025","54333","30957","85290","16496","6323","22819","17841","26686","30957","57643","2234","4828"
"08/14/2025","54476","31046","85522","16558","6356","22914","17898","26756","31046","57802","2225","4806"
"08/13/2025","54435","30995","85430","16536","6336","22872","17887","26749","30995","57744","2230","4814"
"08/12/2025","54414","31001","85415","16513","6328","22841","17881","26742","31001","57743","2237","4831"
"08/11/2025","54508","31013","85521","16553","6332","22885","17896","26761","31013","57774","2250","4862"
"08/10/2025","54464","31024","85488","16498","6348","22846","17902","26779","31024","57803","2237","4839"
"08/09/2025","54374","31037","85411","16440","6320","22760","17908","26790","31037","57827","2230","4824"
"08/08/2025","54398","31018","85416","16485","6323","22808","17893","26768","31018","57786","2228","4822"
"08/07/2025","54482","31044","85526","16539","6330","22869","17914","26804","31044","57848","2224","4809"
"08/06/2025","54504","31052","85556","16545","6326","22871","17903","26804","31052","57856","2232","4829"
"08/05/2025","54504","31072","85576","16517","6319","22836","17921","26837","31072","57909","2233","4831"
"08/04/2025","54429","31069","85498","16447","6317","22764","17923","26838","31069","57907","2234","4827"
"08/03/2025","54428","31053","85481","16448","6307","22755","17924","26841","31053","57894","2235","4832"
"08/02/2025","54428","31066","85494","16421","6321","22742","17931","26841","31066","57907","2242","4845"
"08/01/2025","54480","31044","85524","16477","6336","22813","17923","26823","31044","57867","2241","4844"
"07/31/2025","54491","31012","85503","16531","6327","22858","17903","26793","31012","57805","2239","4840"
"07/30/2025","54374","30966","85340","16406","6370","22776","17898","26786","30966","57752","2225","4812"
"07/29/2025","54483","30973","85456","16500","6349","22849","17899","26802","30973","57775","2236","4832"
"07/28/2025","54423","30918","85341","16480","6335","22815","17868","26759","30918","57677","2243","4849"
"07/27/2025","54253","30876","85129","16420","6262","22682","17845","26724","30876","57600","2240","4847"
"07/26/2025","54371","31019","85390","16431","6258","22689","17938","26840","31019","57859","2238","4842"
"07/25/2025","54385","31007","85392","16434","6256","22690","17929","26844","31007","57851","2243","4851"
"07/24/2025","54484","31015","85499","16491","6289","22780","17937","26853","31015","57868","2243","4851"
"07/23/2025","54509","31038","85547","16490","6291","22781","17951","26890","31038","57928","2241","4838"
"07/22/2025","54572","31042","85614","16511","6319","22830","17965","26904","31042","57946","2239","4838"
"07/21/2025","54501","31029","85530","16456","6289","22745","17945","26890","31029","57919","2252","4866"
"07/20/2025","54433","31114","85547","16358","6263","22621","17985","26944","31114","58058","2253","4868"
"07/19/2025","54320","31088","85408","16299","6219","22518","17979","26937","31088","58025","2251","4865"
"07/18/2025","54402","31098","85500","16348","6262","22610","17970","26931","31098","58029","2248","4861"
"07/17/2025","54444","31106","85550","16379","6264","22643","17968","26935","31106","58041","2251","4866"
"07/16/2025","54441","31108","85549","16346","6289","22635","17975","26937","31108","58045","2252","4869"
"07/15/2025","54520","31086","85606","16408","6271","22679","17968","26946","31086","58032","2265","4895"
"07/14/2025","54530","31149","85679","16381","6255","22636","18006","27017","31149","58166","2258","4877"
"07/13/2025","54497","31138","85635","16347","6244","22591","18011","27018","31138","58156","2265","4888"
"07/12/2025","54377","31082","85459","16310","6230","22540","17977","26961","31082","58043","2260","4876"
"07/11/2025","54388","31101","85489","16361","6243","22604","17974","26959","31101","58060","2237","4825"
"07/10/2025","54441","31167","85608","16347","6229","22576","18024","27038","31167","58205","2239","4827"
"07/09/2025","54599","31173","85772","16469","6233","22702","18032","27037","31173","58210","2253","4860"
"07/08/2025","54551","31145","85696","16437","6212","22649","18007","27036","31145","58181","2256","4866"
"07/07/2025","54572","31154","85726","16455","6194","22649","18005","27036","31154","58190","2266","4887"
"07/06/2025","54510","31243","85753","16323","6162","22485","18064","27116","31243","58359","2277","4909"
"07/05/2025","54523","31270","85793","16286","6167","22453","18090","27151","31270","58421","2282","4919"
"07/04/2025","54480","31217","85697","16300","6157","22457","18055","27103","31217","58320","2282","4920"
"07/03/2025","54466","31190","85656","16324","6144","22468","18040","27086","31190","58276","2278","4912"
"07/02/2025","54600","31216","85816","16381","6197","22578","18055","27103","31216","58319","2281","4919"
"07/01/2025","54726","31284","86010","16408","6229","22637","18084","27163","31284","58447","2286","4926"
"06/30/2025","54746","31346","86092","16421","6211","22632","18118","27208","31346","58554","2277","4906"
"06/29/2025","54660","31336","85996","16333","6230","22563","18116","27207","31336","58543","2270","4890"
"06/28/2025","54591","31300","85891","16307","6249","22556","18088","27172","31300","58472","2257","4863"
"06/27/2025","54702","31264","85966","16421","6240","22661","18077","27152","31264","58416","2268","4889"
"06/26/2025","54713","31347","86060","16408","6211","22619","18120","27187","31347","58534","2278","4907"
"06/25/2025","54662","31322","85984","16418","6182","22600","18089","27153","31322","58475","2279","4909"
"06/24/2025","54723","31310","86033","16416","6195","22611","18089","27161","31310","58471","2299","4951"
"06/23/2025","54637","31293","85930","16387","6189","22576","18067","27140","31293","58433","2285","4921"
"06/22/2025","54660","31390","86050","16345","6186","22531","18127","27215","31390","58605","2282","4914"
"06/21/2025","54607","31386","85993","16299","6176","22475","18130","27219","31386","58605","2281","4913"
"06/20/2025","54705","31417","86122","16341","6196","22537","18146","27248","31417","58665","2283","4920"
"06/19/2025","54755","31403","86158","16381","6216","22597","18141","27258","31403","58661","2273","4900"
"06/18/2025","54704","31410","86114","16351","6217","22568","18135","27251","31410","58661","2267","4885"
"06/17/2025","54707","31395","86102","16370","6179","22549","18139","27264","31395","58659","2271","4894"
"06/16/2025","54620","31439","86059","16331","6146","22477","18156","27291","31439","58730","2251","4852"
"06/15/2025","54611","31488","86099","16312","6144","22456","18174","27314","31488","58802","2244","4841"
"06/14/2025","54542","31482","86024","16250","6143","22393","18175","27312","31482","58794","2242","4837"
"06/13/2025","54494","31450","85944","16223","6116","22339","18178","27318","31450","58768","2243","4837"
"06/12/2025","54577","31519","86096","16314","6119","22433","18207","27341","31519","58860","2226","4803"
"06/11/2025","54564","31533","86097","16299","6106","22405","18221","27367","31533","58900","2219","4792"
"06/10/2025","54534","31529","86063","16330","6095","22425","18212","27338","31529","58867","2209","4771"
"06/09/2025","54532","31576","86108","16309","6061","22370","18232","27376","31576","58952","2217","4786"
"06/08/2025","54552","31629","86181","16265","6075","22340","18260","27413","31629","59042","2222","4799"
"06/07/2025","54451","31574","86025","16199","6070","22269","18239","27379","31574","58953","2224","4803"
"06/06/2025","54421","31574","85995","16239","6009","22248","18235","27381","31574","58955","2219","4792"
"06/05/2025","54317","31584","85901","16213","5993","22206","18222","27353","31584","58937","2201","4758"
"06/04/2025","54313","31633","85946","16224","5931","22155","18247","27394","31633","59027","2206","4764"
"06/03/2025","54509","31696","86205","16362","5922","22284","18284","27454","31696","59150","2210","4771"
"06/02/2025","54560","31739","86299","16368","5925","22293","18315","27486","31739","59225","2214","4781"
"06/01/2025","54436","31711","86147","16264","5929","22193","18311","27476","31711","59187","2208","4767"
"05/31/2025","54398","31694","86092","16253","5931","22184","18292","27451","31694","59145","2205","4763"
"05/30/2025","54240","31672","85912","16173","5894","22067","18281","27429","31672","59101","2196","4744"
"05/29/2025","54411","31723","86134","16305","5890","22195","18296","27460","31723","59183","2201","4756"
"05/28/2025","54486","31748","86234","16346","5900","22246","18309","27481","31748","59229","2202","4759"
"05/27/2025","54408","31701","86109","16287","5893","22180","18280","27448","31701","59149","2213","4780"
"05/26/2025","54263","31735","85998","16170","5869","22039","18306","27464","31735","59199","2203","4760"
"05/25/2025","54306","31695","86001","16270","5849","22119","18293","27447","31695","59142","2195","4740"
"05/24/2025","54349","31722","86071","16251","5872","22123","18312","27477","31722","59199","2201","4749"
"05/23/2025","54340","31664","86004","16299","5872","22171","18263","27414","31664","59078","2203","4755"
"05/22/2025","54344","31663","86007","16362","5873","22235","18259","27410","31663","59073","2175","4699"
"05/21/2025","54340","31683","86023","16351","5873","22224","18286","27440","31683","59123","2163","4676"
"05/20/2025","54290","31633","85923","16352","5856","22208","18245","27377","31633","59010","2178","4705"
"05/19/2025","54282","31717","85999","16281","5855","22136","18287","27440","31717","59157","2178","4706"
"05/18/2025","54203","31769","85972","16202","5845","22047","18312","27475","31769","59244","2166","4681"
"05/17/2025","54127","31687","85814","16202","5824","22026","18266","27421","31687","59108","2165","4680"
"05/16/2025","54093","31643","85736","16248","5821","22069","18233","27379","31643","59022","2149","4645"
"05/15/2025","54095","31635","85730","16241","5815","22056","18218","27378","31635","59013","2156","4661"
"05/14/2025","54129","31628","85757","16267","5819","22086","18221","27380","31628","59008","2158","4663"
"05/13/2025","54072","31640","85712","16260","5781","22041","18217","27379","31640","59019","2153","4652"
"05/12/2025","54083","31727","85810","16213","5809","22022","18257","27421","31727","59148","2146","4640"
"05/11/2025","54041","31711","85752","16196","5796","21992","18245","27407","31711","59118","2146","4642"
"05/10/2025","53987","31680","85667","16180","5785","21965","18219","27376","31680","59056","2148","4646"
"05/09/2025","54070","31696","85766","16251","5765","22016","18233","27402","31696","59098","2151","4652"
"05/08/2025","54160","31684","85844","16288","5786","22074","18230","27412","31684","59096","2162","4674"
"05/07/2025","54117","31707","85824","16243","5777","22020","18252","27452","31707","59159","2147","4645"
"05/06/2025","54082","31663","85745","16266","5765","22031","18226","27418","31663","59081","2142","4633"
"05/05/2025","54057","31760","85817","16226","5728","21954","18272","27494","31760","59254","2129","4609"
"05/04/2025","53995","31781","85776","16175","5728","21903","18284","27491","31781","59272","2125","4601"
"05/03/2025","53786","31721","85507","16068","5711","21779","18248","27436","31721","59157","2111","4571"
"05/02/2025","53874","31741","85615","16113","5742","21855","18254","27453","31741","59194","2110","4566"
"05/01/2025","53899","31740","85639","16182","5731","21913","18270","27464","31740","59204","2088","4522"
"04/30/2025","53970","31813","85783","16204","5723","21927","18310","27529","31813","59342","2084","4514"
"04/29/2025","54010","31800","85810","16264","5736","22000","18298","27510","31800","59310","2079","4500"
"04/28/2025","54134","31819","85953","16341","5771","22112","18296","27516","31819","59335","2081","4506"
"04/27/2025","53994","31803","85797","16255","5744","21999","18283","27487","31803","59290","2081","4508"
"04/26/2025","53813","31727","85540","16156","5735","21891","18244","27422","31727","59149","2078","4500"
"04/25/2025","53807","31719","85526","16158","5733","21891","18246","27431","31719","59150","2072","4485"
"04/24/2025","53781","31669","85450","16211","5715","21926","18212","27381","31669","59050","2066","4474"
"04/23/2025","53800","31712","85512","16219","5701","21920","18247","27424","31712","59136","2057","4456"
"04/22/2025","53804","31705","85509","16262","5708","21970","18232","27411","31705","59116","2044","4423"
"04/21/2025","53786","31729","85515","16247","5702","21949","18253","27432","31729","59161","2036","4405"
"04/20/2025","53700","31710","85410","16192","5691","21883","18253","27448","31710","59158","2017","4369"
"04/19/2025","53663","31722","85385","16134","5702","21836","18259","27460","31722","59182","2019","4367"
"04/18/2025","53586","31596","85182","16185","5703","21888","18191","27362","31596","58958","2006","4336"
"04/17/2025","53640","31573","85213","16288","5714","22002","18171","27339","31573","58912","1989","4299"
"04/16/2025","53678","31592","85270","16262","5712","21974","18208","27399","31592","58991","1993","4305"
"04/15/2025","53677","31583","85260","16286","5684","21970","18206","27415","31583","58998","1985","4292"
"04/14/2025","53720","31624","85344","16295","5700","21995","18221","27443","31624","59067","1981","4282"
"04/13/2025","53637","31568","85205","16262","5696","21958","18205","27395","31568","58963","1982","4284"
"04/12/2025","53577","31516","85093","16237","5692","21929","18175","27357","31516","58873","1987","4291"
"04/11/2025","53497","31472","84969","16263","5699","21962","18143","27294","31472","58766","1963","4241"
"04/10/2025","53535","31482","85017","16250","5680","21930","18181","27351","31482","58833","1970","4254"
"04/09/2025","53538","31461","84999","16286","5676","21962","18161","27318","31461","58779","1971","4258"
"04/08/2025","53485","31409","84894","16291","5689","21980","18132","27283","31409","58692","1956","4222"
"04/07/2025","53443","31379","84822","16253","5708","21961","18111","27268","31379","58647","1951","4214"
"04/06/2025","53402","31404","84806","16209","5696","21905","18119","27285","31404","58689","1949","4212"
"04/05/2025","53344","31348","84692","16203","5709","21912","18098","27246","31348","58594","1938","4186"
"04/04/2025","53210","31323","84533","16126","5678","21804","18084","27228","31323","58551","1935","4178"
"04/03/2025","53315","31273","84588","16253","5688","21941","18073","27207","31273","58480","1930","4167"
"04/02/2025","53401","31294","84695","16250","5715","21965","18097","27249","31294","58543","1940","4187"
"04/01/2025","53338","31264","84602","16242","5696","21938","18065","27206","31264","58470","1946","4194"
"03/31/2025","53315","31297","84612","16205","5679","21884","18090","27251","31297","58548","1939","4180"
"03/30/2025","53370","31351","84721","16211","5680","21891","18120","27291","31351","58642","1943","4188"
"03/29/2025","53263","31324","84587","16162","5664","21826","18106","27271","31324","58595","1936","4166"
"03/28/2025","53269","31305","84574","16181","5680","21861","18086","27242","31305","58547","1935","4166"
"03/27/2025","53289","31277","84566","16247","5651","21898","18077","27238","31277","58515","1929","4153"
"03/26/2025","53360","31278","84638","16288","5665","21953","18083","27262","31278","58540","1924","4145"
"03/25/2025","53361","31309","84670","16244","5655","21899","18104","27302","31309","58611","1932","4160"
"03/24/2025","53395","31349","84744","16268","5625","21893","18129","27332","31349","58681","1937","4170"
"03/23/2025","53434","31394","84828","16280","5632","21912","18150","27352","31394","58746","1937","4170"
"03/22/2025","53367","31355","84722","16222","5627","21849","18141","27333","31355","58688","1943","4185"
"03/21/2025","53394","31363","84757","16244","5642","21886","18138","27331","31363","58694","1940","4177"
"03/20/2025","53378","31326","84704","16265","5637","21902","18119","27318","31326","58644","1929","4158"
"03/19/2025","53438","31347","84785","16277","5630","21907","18142","27357","31347","58704","1937","4174"
"03/18/2025","53454","31342","84796","16291","5628","21919","18140","27351","31342","58693","1944","4184"
"03/17/2025","53474","31350","84824","16286","5627","21913","18148","27352","31350","58702","1957","4209"
"03/16/2025","53383","31315","84698","16247","5614","21861","18135","27329","31315","58644","1948","4193"
"03/15/2025","53363","31310","84673","16217","5634","21851","18134","27325","31310","58635","1945","4187"
"03/14/2025","53250","31227","84477","16204","5609","21813","18086","27247","31227","58474","1946","4190"
"03/13/2025","53255","31201","84456","16197","5608","21805","18093","27262","31201","58463","1944","4188"
"03/12/2025","53296","31219","84515","16227","5605","21832","18105","27278","31219","58497","1942","4186"
"03/11/2025","53325","31201","84526","16278","5607","21885","18093","27250","31201","58451","1946","4190"
"03/10/2025","53370","31234","84604","16263","5619","21882","18103","27272","31234","58506","1959","4216"
"03/09/2025","53418","31270","84688","16304","5608","21912","18130","27304","31270","58574","1951","4202"
"03/08/2025","53385","31247","84632","16250","5607","21857","18133","27309","31247","58556","1959","4219"
"03/07/2025","53404","31244","84648","16284","5590","21874","18131","27314","31244","58558","1958","4216"
"03/06/2025","53369","31164","84533","16313","5595","21908","18090","27255","31164","58419","1953","4206"
"03/05/2025","53398","31135","84533","16353","5602","21955","18076","27236","31135","58371","1954","4207"
"03/04/2025","53401","31228","84629","16296","5580","21876","18125","27317","31228","58545","1954","4208"
"03/03/2025","53458","31288","84746","16349","5550","21899","18141","27348","31288","58636","1956","4211"
"03/02/2025","53493","31350","84843","16341","5567","21908","18173","27380","31350","58730","1956","4205"
"03/01/2025","53421","31339","84760","16324","5535","21859","18176","27375","31339","58714","1948","4187"
"02/28/2025","53348","31285","84633","16314","5543","21857","18144","27309","31285","58594","1944","4182"
"02/27/2025","53436","31360","84796","16315","5554","21869","18177","27371","31360","58731","1950","4196"
"02/26/2025","53481","31367","84848","16380","5559","21939","18163","27344","31367","58711","1951","4198"
"02/25/2025","53504","31342","84846","16372","5572","21944","18160","27343","31342","58685","1960","4217"
"02/24/2025","53500","31295","84795","16404","5583","21987","18134","27305","31295","58600","1955","4208"
"02/23/2025","53433","31263","84696","16382","5567","21949","18123","27283","31263","58546","1951","4201"
"02/22/2025","53431","31246","84677","16401","5564","21965","18121","27283","31246","58529","1945","4183"
"02/21/2025","53489","31217","84706","16467","5583","22050","18105","27265","31217","58482","1939","4174"
"02/20/2025","53590","31280","84870","16489","5586","22075","18135","27310","31280","58590","1956","4205"
"02/19/2025","53664","31341","85005","16519","5565","22084","18172","27370","31341","58711","1960","4210"
"02/18/2025","53672","31385","85057","16464","5564","22028","18203","27454","31385","58839","1952","4190"
"02/17/2025","53595","31305","84900","16463","5557","22020","18170","27409","31305","58714","1941","4166"
"02/16/2025","53542","31304","84846","16406","5539","21945","18176","27419","31304","58723","1946","4178"
"02/15/2025","53493","31343","84836","16340","5551","21891","18182","27417","31343","58760","1948","4185"
"02/14/2025","53584","31360","84944","16407","5560","21967","18195","27441","31360","58801","1945","4176"
"02/13/2025","53665","31357","85022","16487","5564","22051","18189","27427","31357","58784","1950","4187"
"02/12/2025","53722","31441","85163","16454","5551","22005","18250","27518","31441","58959","1956","4199"
"02/11/2025","53654","31396","85050","16463","5566","22029","18223","27476","31396","58872","1933","4149"
"02/10/2025","53674","31430","85104","16433","5585","22018","18237","27500","31430","58930","1937","4156"
"02/09/2025","53627","31515","85142","16353","5569","21922","18278","27563","31515","59078","1930","4142"
"02/08/2025","53614","31518","85132","16358","5554","21912","18279","27559","31518","59077","1931","4143"
"02/07/2025","53716","31550","85266","16418","5580","21998","18283","27583","31550","59133","1927","4135"
"02/06/2025","53798","31659","85457","16403","5578","21981","18346","27679","31659","59338","1929","4138"
"02/05/2025","53843","31716","85559","16374","5567","21941","18396","27744","31716","59460","1938","4158"
"02/04/2025","53783","31681","85464","16310","5556","21866","18398","27771","31681","59452","1933","4146"
"02/03/2025","53941","31866","85807","16287","5561","21848","18509","27959","31866","59825","1927","4134"
"02/02/2025","54058","31967","86025","16315","5567","21882","18565","28043","31967","60010","1926","4133"
"02/01/2025","54016","31962","85978","16289","5544","21833","18573","28053","31962","60015","1924","4130"
"01/31/2025","54095","32019","86114","16313","5538","21851","18607","28113","32019","60132","1923","4131"
"01/30/2025","54241","32098","86339","16369","5549","21918","18656","28203","32098","60301","1919","4120"
"01/29/2025","54242","32174","86416","16296","5549","21845","18698","28281","32174","60455","1916","4116"
"01/28/2025","54260","32208","86468","16294","5544","21838","18711","28307","32208","60515","1914","4115"
"01/27/2025","54309","32216","86525","16318","5544","21862","18719","28332","32216","60548","1915","4115"
"01/26/2025","54227","32231","86458","16275","5529","21804","18711","28309","32231","60540","1914","4114"
"01/25/2025","54283","32253","86536","16273","5547","21820","18736","28342","32253","60595","1916","4121"
"01/24/2025","54286","32237","86523","16298","5547","21845","18745","28349","32237","60586","1902","4092"
"01/23/2025","54353","32257","86610","16317","5568","21885","18747","28369","32257","60626","1908","4099"
"01/22/2025","54470","32313","86783","16355","5574","21929","18783","28423","32313","60736","1916","4118"
"01/21/2025","54629","32472","87101","16376","5567","21943","18876","28570","32472","61042","1916","4116"
"01/20/2025","54618","32507","87125","16374","5543","21917","18897","28601","32507","61108","1909","4100"
"01/19/2025","54466","32472","86938","16293","5526","21819","18864","28557","32472","61029","1905","4090"
"01/18/2025","54510","32482","86992","16318","5529","21847","18878","28579","32482","61061","1902","4084"
"01/17/2025","54564","32451","87015","16374","5535","21909","18869","28571","32451","61022","1902","4084"
"01/16/2025","54602","32488","87090","16361","5535","21896","18902","28622","32488","61110","1902","4084"
"01/15/2025","54597","32501","87098","16360","5529","21889","18911","28629","32501","61130","1899","4079"
"01/14/2025","54609","32538","87147","16368","5515","21883","18924","28644","32538","61182","1898","4082"
"01/13/2025","54477","32474","86951","16294","5496","21790","18875","28592","32474","61066","1904","4095"
